地点,薪资,职位,岗位需求
杭州,6K-8K,java软件开发工程师,"岗位职责：1、负责所属模块的开发建设，包含功能的规划、需求分析设计与技术实现，并进行单元测试；2、根据需求、设计文档完成指定的设计、开发工作；3、修复系统中存在的Bug；4、完成其他交办的各类技术开发任务。岗位要求：1大专以上学历，精通Java语言。熟练oracle,有过erp系统审核流经验优先。2.熟悉Java服务器端开发，了解设计模式，熟悉springmvc、mybatis、3.熟悉javascript、CSS、HTML、jsp、jQuery、html、ajax、bootstrap前端框架与技能，熟悉TCP/IP、HTTP的基本工作原理；4.熟练应用各种开发工具如Myeclipse,idea，熟练应用各种应用服务器如tomcat；5.熟悉使用Memcached、Redis等缓存技术，有高并发编程经验或具有高校管理软件开发经验者优先；6.阅读并分析过开源框架源码；7.工作责任心强，具有一定的抗压能力，热爱自己从事的行业，有团队管理经验更佳。"
南京,15K-25K,Java Web开发,"岗位职责：1、 负责公司现有平台及产品的前端迭代开发，易用性改进、界面技术优化和网站性能优化，以及问题修复，并编写相关技术文档。2、 负责公司新建平台与产品的前端架构设计及开发工作，并编写相关技术文档。3、 配合后台开发工程师进行接口调试，功能端到端联调。4、 配合架构师进行模块需求分析、设计、开发，配合测试人员进行测试。5、 需要完成部门领导安排的其他工作任务。任职要求：1、计算机相关专业，全日制硕士研究生及以上学历，参与过大型项目研发，熟悉软件开发流程；2、精通JavaScript语言，熟练掌握vue、js, angular、js, node、js架构。3、精通CSS，HTML，熟悉W3C标准及规范，熟练掌握盒模型、常用布局以及浏览器和移动设备兼容性。4、熟练掌握浏览器的资源加载、渲染机制，以及网站性能优化、体验优化。5、具备良好的前端编程能力和编程习惯，对前端模块化开发有一定经验。有模块化，组件化开发经验者优先考虑。6、有互联网开发从业经验或电信业务从业经验者优先。7、具备良好的沟通能力及团队合作精神。8、年龄： 35周岁及以下；9、具备3年以上前端开发相关工作经验。"
苏州-相城区,10K-15K,中级java工程师,岗位要求:1、精通Java web应用开发，精通MVC架构设计；2、精通dubbo，spring boot/security/cloud，mybatis，hibernate，Redis，JQuery等开源框架的使用和调优；3、精通各种关系型数据库的使用运维，精通SQL语句编写和调优；4、熟练掌握Linux操作运维，熟练编写Shell/Perl/Python脚本；5、精通echarts、highcharts、D3等可视化工具的一种或多种；6、快速的学习能力、能够承受较强的工作压力；7、善于沟通、乐于合作，有强烈的责任心、工作积极主动；8、能够独立带领小项目的开发或能够独立负责大项目中的模块开发，具有一定的项目管理经验。职位责任：1、负责业务需求整理、系统设计、系统框架搭建；2、负责系统核心代码编码；3、参与电子政务平台的设计和研发；4、负责研发小组的管理；5、负责code review、技术预研和应用；6、负责内部技术培训、知识传授；有电子政务或行政审批相关业务经验优先。
南京-雨花台区,10K-15K,高级java开发工程师,1、熟练使用并深刻理解主流的技术框架，Spring、SpringMVC、mybatis等(必须有2年以上使用经验)。2、熟悉数据库设计，熟悉MySQL/ORACLE数据库，并具有较好的SQL编写及优化能力。3、熟悉Linux系统，了解大数据hadoop基本技术作用，了解前后端交互相关知识。4、思维活跃逻辑清晰，良好的沟通能力，有较强的抗压能力，有较强的自主学习能力，善于分析、归纳、快速定位并解决问题。5、有大数据相关项目经验者优先。
济南,6K-10K,JAVA开发工程师,岗位职责：1.负责公司软件项目的设计、开发、调试和维护；2.根据产品需求完成需求分析，功能设计，模块编码和单元测试；3.跟进最新技术，对产品的技术方案进行演进，改善软件的易用性，提升用户使用体验。任职要求：1.统招本科及以上学历，计算机相关专业；有一年以上软件开发工作经验；2.熟练使用Java开发技术，熟悉JavaEE 技术体系架构和设计模式；3.了解Spring、Struts、Hibernate等主流框架；掌握html、css、jquery、JavaScript、jsp编程；4.熟悉主流数据库（Oracle/Mysql）；5.具备较强的沟通能力；有良好的团队协作能力、学习和理解能力，能够较快了解和掌握新知识；具备综合分析和解决问题能力；具备优秀的文档阅读和编写能力；6.诚实、踏实、认真负责，愿意长期从事软件开发工作，能承受一定的工作压力。福利待遇：1. 享受同行业富有竞争力的薪资待遇，具有广阔的提升空间；2. 免费三餐、舒适员工公寓、免费班车；3. 缴纳五险一金，解决济南户口，托管个人档案，享受法定节假日、带薪年假等各类假期；4. 舒适的办公环境，提供健身器械、娱乐设施，满足工作之余的放松休闲；5. 享受节日礼包、健康体检、通讯补助、生日蛋糕、子女入托、活动经费等各类补贴；6. 文化活动精彩多样、奖品丰厚，专项部门活动经费，团队氛围积极向上。
济南,12K-16K,java开发工程师,"工作职责：1,参与产品方案讨论和技术实现设计，并负责相关文档的编写维护；2,独立完成代码开发，并负责解决相关问题；3,对代码持续优化改进，对技术深入研究岗位要求:【*】5年以上开发经验，且带过团队。1,熟悉Java及Web应用的开发，有良好的编码习惯;2,3年以上Java项目、互联网开发经验、系统模块设计经验;3,深入理解面向对象编程和J2EE技术;4,熟练使用mysql数据库以及相关优化；5,熟练使用SpringBoot。"
南京,10K-15K,java开发工程师,岗位职责：1、 负责公司产品后台的设计和研发工作；2、 按照产品的开发任务和进度要求，依照软件开发需求，实现模块功能；3、 按时保质编写代码，完成公司指定的各版本软件产品的开发任务；4、了解并掌握系统设计与优化，具有一定的需求分析能力和单元测试能力。岗位要求：1、 本科及以上学历，计算机相关专业优先；                            2.、三年以上Java开发经验，基础扎实，理解多线程、集合等基础框架并熟悉各种常用设计模式；3、 熟练使用html、javascript、springMVC mybatis jquery等技术进行Web开发以及应用程序开发，熟悉mysql oracle redis MQ netty 等；                   4、 有一定的抗压能力强和团队合作精神，具有强烈的责任感，出色的沟通能力和学习能力；    5、 具有良好的逻辑思维能力和较强的分析问题和解决问题的能力。
郑州,8K-10K,高薪急聘java软件工程师,java实习生/应届毕业生（1-3k）1、计算机相关专业，具有扎实的计算机基础理论知识，熟悉常用的java web开发技术3、积极向上、具备良好的沟通能力与学习能力4、在校期间获得过参与过技术赛事并获得过奖励优先5、勤奋钻研，喜欢计算机行业并愿意从事软件开发工作者优先。初级java工程师(2-4k)任职要求：1 ，计算机相关专业，具有扎实的计算机基础理论知识，具备基本的JAVA项目开发经验；2，熟悉常用Java web开发技术，熟悉J2EE规范；3，熟悉基于数据库的设计和开发，能熟练使用至少一种常用关系型数据库；4，积极向上、工作认真，有良好的学习能力及团队合作能力；中级java工程师(4-8k)任职要求：1 ，计算机相关专业，具有扎实的计算机基础理论知识，三年以上JAVA项目开发经验；2，熟悉常用Java web开发技术，熟悉J2EE规范；3，熟悉基于数据库的设计和开发，能熟练使用至少一种常用关系型数据库；4，熟悉JAVA网络编程或Linux操作系统者优先；5，具有公检法相关项目开发经验者优先。6，积极向上、工作认真，有良好的学习能力及团队合作能力；java 高级软件工程师(8K-12K)岗位职责：1.全面参与公司软件产品的需求分析、系统设计与开发文档编写2.承担软件产品的编码、测试和维护工作3.配合项目经理完成新产品的开发和维护任职要求：1.五年以上JAVA项目开发经验；2.精通Java编程语言，精通常见WEB开发框架；熟悉JSP、SERVLET、JDBC、XML等常用的编程技术，熟悉JAVA网络编程和多线程；3.精通标准SQL语言，并熟悉使用一种关系型数据库（Oracle、MySql、SqlServer等）；4.掌握Javascript、HTML、CSS、Ajax、jQuery、easyui等前端开发技术。5.熟悉TOMCAT、JBOSS、WEBSPHERE、WEBLOGIC等常见中间件6.熟悉web services技术，熟悉各类开源项目；7.具有公检法相关产品开发经验者优先。8.具备勤奋钻研的精神，良好的学习能力及团队合作能力。
北京-朝阳区,20K-25K,java开发工程师,岗位职责：1、根据业务需求与前端组协作开发并实现各产品功能；2、参与后端研发中涉及到的技术框架选型及相关实现；3、与数据组协作完成核心接口的定义、使用、测试并保证业务代码的运行效率；4、与测试组及运维组协作实现产品上线，并监控产品服务，及时处理线上异常；任职要求：1. 5年及以上Java服务器端开发经验；2. 精通J2EE相关技术，精通mybatis、spring MVC、SSH等开源主流技术框架；3. 掌握MySQL数据库的开发、配置、管理、调试，熟练掌握SQL查询优化及存储过程编写；4. 熟练使用svn、git、maven等版本管理工具5. 精通关系型数据库的使用，并了解NoSQL技术；6、熟悉分布式架构，了解一些分布式框架应用，熟悉高并发、负载均衡、消息队列；7. 熟悉各种主流开源框架及应用，喜欢挑战与钻研新的技术实现；8. 良好的沟通能力及解决问题的能力，良好的职业道德及敬业精神。
北京-海淀区,15K-25K,中高级Java开发工程师,"岗位职责：负责呱呱财经后台系统开发，涉及到：图文，问答，拜师，直播，短信平台，业务代理，cdn管理，配置后台，权限管理，讲师体系，消息系统，优惠券系统，计费，结算……等项目。任职要求：1、本科学历,专业不限,5年以上 Java 开发经验2、近两年的工作里都在使用Spring、SpringMVC、mybaits、redis、rocketmq、Dubbo+zookeeper、mysql、Maven、Nginx开发互联网相关项目3、熟悉java语言.有项目中使用分布式、缓存、消息、搜索、负载均衡等机制的经验；4 . 有一定前端能力如Prototype，Jquery是加分项5、具备良好的分析解决问题能力，非常良好的编程及测试习惯(加分项)，工作积极主动."
